frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
0,58.82551311495727,58.440142128813235,164.48458781573706,166.23885238573826,102.5487354850278,104.77160336250967,136.77152860544558,136.30638279071584,134.06910899847475,138.74809478606912
1,59.34185503688528,58.72233645734547,164.61920326874417,166.10106277321816,102.4064802927632,105.88840221110168,136.42161026945664,136.1912338722189,134.50358147824792,134.6379855909883
2,59.799200329241025,58.76647077093626,164.79270589298108,166.76566590634863,101.81959438092038,106.36685432324153,133.53474903782475,130.5481068771207,135.7035131402912,137.03545579975423
3,59.826201521711376,58.46247221907971,165.46946480578902,166.6335329887291,101.93159226492179,105.32741447375705,133.78418154087663,127.55212267137915,142.44354762806609,139.34309123878305
4,59.942071522049254,58.4265365940403,166.12646642612566,168.3917116906311,102.13813933503016,107.18135190026753,133.7505734895036,129.04206871533245,141.5823852657411,138.16704494844282
5,60.27819472866527,58.343087578653396,166.44051604308856,167.4297912211324,102.03479228539372,106.85061365611713,134.131537298034,128.29340865692825,142.1459901998923,136.34499999579282
6,60.68512117263131,58.433735441384954,166.83293585703603,166.61055054021872,101.82083592334072,105.50915482287886,134.05853278314032,127.34975517539311,141.76213674743562,137.62770215857026
7,60.82735756144215,58.58539021321468,167.31716060970928,166.2557237050974,101.87965868406238,106.37451875214568,134.1227262728511,129.43907677542717,142.81368152623062,137.72084415547928
8,60.81965510707225,59.07423387544681,167.32627831218545,166.33678944381128,102.04867274620577,105.87307001477097,134.58321028810124,130.14558012958855,147.9066978196737,139.3116206580864
9,60.94040864029007,59.4816175391009,167.35210260167767,165.90106403342213,102.17768554648927,105.37817685594707,135.43620751245973,131.00535178697862,146.9318018047164,138.59981508509284
10,60.95586052615891,59.646387318397494,167.12847250842327,165.69671868675164,102.29969585748056,104.97413808580399,135.89671796237246,130.9925501126666,146.07569854112774,138.40923590169135
11,60.77228989543397,59.40083005389219,167.16400018046951,165.0873778483853,102.42417993480255,104.91563369875044,136.57489430011117,130.94437135649065,142.43432935413747,138.15989147742326
12,60.46926832053488,59.14718488764537,167.5687968151657,165.07021857317392,102.41453323377776,105.09176239638033,136.70354223295524,131.99448415927577,143.27946691259498,136.66185287582087
13,60.468966076482474,59.35927316248709,167.77566023156595,165.14230711349015,102.2466614276797,105.05037555454916,136.61279048657562,132.25542789505147,143.3063086637295,136.94825933462863
